"Source:","C:\Users\sylvain\Documents\dev\trublion\bab_v1\pr001_instrubab\cad\bab_top.sch"
"Date:","24/11/2019 16:24:37"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","84"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"32","1","R216","0","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"33","1","R218","470k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"34","1","R301","47k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"35","1","R302","10k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"36","3","RV101, RV102, RV103","10k","bab_top-rescue:POT-RESCUE-bab_top","flax_lib:ALPS_RK09L",""
"37","1","RV201","RK09L_stereo","bab_top-rescue:RK09L_stereo","flax_lib:ALPS_RK09L_stereo",""
"38","1","RV205","100k","bab_top-rescue:POT-RESCUE-bab_top","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"39","1","U201","LM833","bab:LM833","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"40","1","U202","LM358","bab_top-rescue:LM358-RESCUE-bab_top","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"41","1","U301","LM2674","bab:LM2674","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
